duree_ms,pose_predite,pose_reelle,erreur
10,1.8,1.8596,0.0596008
20,3.6,3.77643,0.176426
30,5.4,5.74582,0.345819
40,7.2,7.76103,0.561026
50,9,9.81347,0.813467
60,10.8,11.8931,1.09308
70,12.6,13.9887,1.38871
80,14.4,16.0886,1.68859
90,16.2,18.1807,1.98074
100,18,20.2535,2.25353
110,19.8,22.2961,2.49608
120,21.6,24.2987,2.69872
130,23.4,26.2534,2.85337
140,25.2,28.1539,2.95386
150,27,29.9962,2.9962
160,28.8,31.7787,2.97869
170,30.6,33.502,2.90203
180,32.4,35.1693,2.76927
190,34.2,36.7857,2.58571
200,36,38.3587,2.35867
210,37.8,39.8972,2.0972
220,39.6,41.4117,1.81172
230,41.4,42.9136,1.51361
240,43.2,44.4148,1.21476
250,45,45.9271,0.927084
260,46.8,47.462,0.662048
270,48.6,49.0302,0.430218
280,50.4,50.6408,0.240838
290,52.2,52.3015,0.101458
300,54,54.0176,0.017633
310,55.8,55.7927,0.00729386
320,57.6,57.6277,0.0276709
330,59.4,59.5211,0.121133
340,61.2,61.4694,0.269367
350,63,63.4665,0.466463
360,64.8,65.5046,0.704564
370,66.6,67.5742,0.974176
380,68.4,69.6646,1.26455
390,70.2,71.7641,1.56411
400,72,73.8609,1.86092
410,73.8,75.9431,2.14314
420,75.6,77.9995,2.39952
430,77.4,80.0198,2.61984
440,79.2,81.9953,2.79532
450,81,83.919,2.91895
460,82.8,85.7858,2.98582
470,84.6,87.5933,2.99325
480,86.4,89.341,2.94095
490,88.2,91.031,2.83101
500,90,92.6678,2.6678
510,91.8,94.2578,2.45784
520,93.6,95.8095,2.20949
530,95.4,97.3327,1.93266
540,97.2,98.8384,1.63838
550,99,100.338,1.33838
560,100.8,101.845,1.04463
570,102.6,103.369,0.76883
580,104.4,104.922,0.521981
590,106.2,106.514,0.313924
600,108,108.153,0.152952
610,109.8,109.845,0.0454831
620,111.6,111.596,0.00419816
630,113.4,113.406,0.00588875
640,115.2,115.275,0.0753417
650,117,117.201,0.201392
660,118.8,119.179,0.379014
670,120.6,121.201,0.601127
680,122.4,123.259,0.858875
690,124.2,125.342,1.14198
700,126,127.439,1.43917
710,127.8,129.539,1.73857
720,129.6,131.628,2.02827
730,131.4,133.697,2.29671
740,133.2,135.733,2.53318
750,135,137.728,2.72827
760,136.8,139.674,2.87419
770,138.6,141.565,2.96513
780,140.4,143.397,2.99745
790,142.2,145.17,2.96988
800,144,146.884,2.88351
810,145.8,148.542,2.74178
820,147.6,150.15,2.55035
830,149.4,151.717,2.31684
840,151.2,153.251,2.05057
850,153,154.762,1.76216
860,154.8,156.263,1.46309
870,156.6,157.765,1.16529
880,158.4,159.281,0.880634
890,160.2,160.82,0.620473
900,162,162.395,0.395177
910,163.8,164.014,0.213727
920,165.6,165.683,0.0833578
930,167.4,167.409,0.00926567
940,169.2,169.194,0.00559502
950,171,171.039,0.0393681
960,172.8,172.942,0.142363
970,174.6,174.899,0.299282
980,176.4,176.904,0.503871
990,178.2,178.948,0.747974
1000,180,181.022,1.02186
